RISP;AISP;CISP;Unidade Territorial;Município;Região de Governo
1;2;9;Catete, Cosme Velho, Flamengo, Glória e Laranjeiras;Rio de Janeiro;Metropolitana
1;2;10;Botafogo, Humaitá e Urca;Rio de Janeiro;Metropolitana
1;3;23;Cachambi, Méier (parte) e Todos os Santos (parte);Rio de Janeiro;Metropolitana
1;3;24;Abolição, Água Santa (parte), Encantado, Engenho de Dentro (parte), Pilares e Piedade;Rio de Janeiro;Metropolitana
1;3;25;Engenho Novo, Jacaré, Jacarezinho, Riachuelo, Rocha, Sampaio e São Francisco Xavier;Rio de Janeiro;Metropolitana
1;3;26;Água Santa (parte), Engenho de Dentro (parte), Lins de Vasconcelos e Todos os Santos;Rio de Janeiro;Metropolitana
1;3;44;Del Castilho, Engenho da Rainha, Inhaúma, Maria da Graça e Tomás Coelho;Rio de Janeiro;Metropolitana
1;4;6;Catumbi, Cidade Nova, Estácio, Rio Comprido e Centro (parte);Rio de Janeiro;Metropolitana
1;4;17;Caju, Mangueira, São Cristóvão e Vasco da Gama;Rio de Janeiro;Metropolitana
1;5;1;Centro (parte);Rio de Janeiro;Metropolitana
1;5;4;Centro (parte), Gamboa, Santo Cristo e Saúde;Rio de Janeiro;Metropolitana
1;5;5;Centro (parte), Lapa e Paquetá;Rio de Janeiro;Metropolitana
1;5;7;Santa Teresa;Rio de Janeiro;Metropolitana
1;6;18;Maracanã, Praça da Bandeira e Tijuca (parte);Rio de Janeiro;Metropolitana
1;6;19;Alto da Boa Vista e Tijuca (parte);Rio de Janeiro;Metropolitana
1;6;20;Andaraí, Grajaú e Vila Isabel;Rio de Janeiro;Metropolitana
1;16;22;Brás de Pina (parte), Olaria, Penha e Penha Circular (parte);Rio de Janeiro;Metropolitana
1;16;38;Brás de Pina (parte), Cordovil, Jardim América, Parada de Lucas,Penha Circular (parte) e Vigário Geral;Rio de Janeiro;Metropolitana
1;17;37;Bancários, Cacuia, Cidade Universitária, Cocotá, Freguesia, Galeão, Jardim Carioca, Jardim Guanabara, Moneró, Pitangueiras, Portuguesa, Praia da Bandeira, Ribeira, Tauá e Zumbi;Rio de Janeiro;Metropolitana
1;19;12;Copacabana (parte) e Leme;Rio de Janeiro;Metropolitana
1;19;13;Copacabana (parte);Rio de Janeiro;Metropolitana
1;22;21;Benfica, Bonsucesso, Higienópolis, Manguinhos, Maré e Ramos;Rio de Janeiro;Metropolitana
1;23;11;Rocinha;Rio de Janeiro;Metropolitana
1;23;14;Ipanema e Leblon;Rio de Janeiro;Metropolitana
1;23;15;Gávea, Jardim Botânico, Lagoa, São Conrado e Vidigal;Rio de Janeiro;Metropolitana
2;9;29;Cavalcanti, Engenheiro Leal, Madureira, Turiaçu, Vaz Lobo, Oswaldo Cruz (parte), Cascadura e Quintino Bocaiúva;Rio de Janeiro;Metropolitana
2;9;30;Bento Ribeiro, Campinho, Marechal Hermes e Oswaldo Cruz (parte);Rio de Janeiro;Metropolitana
2;9;40;Coelho Neto, Colégio (parte), Honório Gurgel e Rocha Miranda;Rio de Janeiro;Metropolitana
2;14;33;Campo dos Afonsos, Deodoro, Jardim Sulacap, Magalhães Bastos, Realengo e Vila Militar;Rio de Janeiro;Metropolitana
2;14;34;Bangu, Gericinó, Padre Miguel e Senador Camará;Rio de Janeiro;Metropolitana
2;18;28;Vila Valqueire, Praça Seca e Tanque (parte);Rio de Janeiro;Metropolitana
2;18;32;Anil, Cidade de Deus, Curicica, Gardênia Azul, Jacarepaguá e Taquara;Rio de Janeiro;Metropolitana
2;18;41;Freguesia (Jacarepaguá), Pechincha e Tanque (parte);Rio de Janeiro;Metropolitana
2;27;36;Paciência e Santa Cruz;Rio de Janeiro;Metropolitana
2;27;43;Guaratiba, Pedra de Guaratiba e Sepetiba;Rio de Janeiro;Metropolitana
2;31;16;Barra da Tijuca, Itanhangá, Joá;Rio de Janeiro;Metropolitana
2;31;42;Recreio dos Bandeirantes, Barra de Guaratiba, Camorim, Grumari, Vargem Grande e Vargem Pequena;Rio de Janeiro;Metropolitana
2;40;35;Campo Grande, Cosmos, Inhoaíba, Santíssimo e Senador Vasconcelos;Rio de Janeiro;Metropolitana
2;41;27;Colégio (parte), Irajá, Vicente de Carvalho, Vila Kosmos, Vila da Penha e Vista Alegre;Rio de Janeiro;Metropolitana
2;41;31;Anchieta, Guadalupe, Parque Anchieta e Ricardo de Albuquerque;Rio de Janeiro;Metropolitana
2;41;39;Acari, Barros Filho, Costa Barros, Parque Colúmbia e Pavuna;Rio de Janeiro;Metropolitana
3;15;59;Duque de Caxias (Centro);Duque de Caxias;Metropolitana
3;15;60;Campos Elyseos;Duque de Caxias;Metropolitana
3;15;61;Xerém;Duque de Caxias;Metropolitana
3;15;62;Imbariê;Duque de Caxias;Metropolitana
3;20;52;Centro;Nova Iguaçu;Metropolitana
3;20;53;Mesquita, Chatuba e Banco de Areia;Mesquita;Metropolitana
3;20;56;Comendador Soares, Cabuçú e Km32;Nova Iguaçu;Metropolitana
3;20;57;Nilópolis e Olinda;Nilópolis;Metropolitana
3;20;58;Posse, Austin, Miguel Couto, Vila de Cava e Tinguá;Nova Iguaçu;Metropolitana
3;21;64;São João de Meriti, Coelho da Rocha e São Mateus;São João de Meriti;Metropolitana
3;24;48;Seropédica;Seropédica;Metropolitana
3;24;50;Itaguaí e Ibituporanga;Itaguaí;Metropolitana
3;24;51;Paracambi;Paracambi;Metropolitana
3;24;55;Centro, Norte, Sul. Leste, Oeste e Nordeste;Queimados;Metropolitana
3;24;63;Japeri, Engenheiro Pedreira, Marajoara, Pedra Lisa e Rio D`Ouro;Japeri;Metropolitana
3;34;65;Magé, Santo Aleixo e Suruí;Magé;Metropolitana
3;34;66;Inhomirim e Guia de Copaíba;Magé;Metropolitana
3;34;67;Guapimirim;Guapimirim;Metropolitana
3;39;54;Areia Branca, Jardim Redentor, Parque São José, Nova Aurora e Lote XV;Belford Roxo;Metropolitana
4;7;72;São Gonçalo;São Gonçalo;Metropolitana
4;7;73;Neves;São Gonçalo;Metropolitana
4;7;74;Monjolo;São Gonçalo;Metropolitana
4;7;75;Ipiiba e Sete Pontes;São Gonçalo;Metropolitana
4;12;76;Centro, Ponta da Areia, Ilha da Conceição, São Lourenço, Fátima, Morro do Estado, Ingá, São Domingos, Gragoatá e Boa Viagem;Niterói;Metropolitana
4;12;77;Santa Rosa, Icaraí, Vital Brasil, Pé Pequeno, Viradouro e Cubango;Niterói;Metropolitana
4;12;78;Fonseca, Viçoso Jardim, Caramujo, Baldeador, Santa Bárbara, Tenente Jardim, Engenhoca, Santana e Barreto;Niterói;Metropolitana
4;12;79;Jurujuba, Charitas, São Francisco, Cachoeiras, Maceió, Largo da Batalha, Ititioca, Badu, Sapê, Matapaca, Vila Progresso, Muriqui, Maria Paula e Cantagalo;Niterói;Metropolitana
4;12;81;Itaipu, Camboinhas, Itacoatiara, Piratininga, Cafubá, Jacaré, Rio do Ouro, Engenho do Mato, Várzea das Moças e Jardim Imbuí;Niterói;Metropolitana
4;12;82;Maricá e Inoã;Maricá;Metropolitana
4;25;118;Araruama, Morro Grande e São Vicente de Paula;Araruama;Baixadas Litorâneas
4;25;124;Saquarema, Bacaxá e Sampaio Correia;Saquarema;Baixadas Litorâneas
4;25;125;São Pedro da Aldeia;São Pedro da Aldeia;Baixadas Litorâneas
4;25;126;Cabo Frio e Tamoios;Cabo Frio;Baixadas Litorâneas
4;25;127;Armação dos Búzios;Armação dos Búzios;Baixadas Litorâneas
4;25;129;Iguaba Grande;Iguaba Grande;Baixadas Litorâneas
4;25;132;Arraial do Cabo;Arraial do Cabo;Baixadas Litorâneas
4;35;70;Tanguá;Tanguá;Metropolitana
4;35;71;Itaboraí, Cabuçú, Itambí, Porto das Caixas e Sambaetiba;Itaboraí;Metropolitana
4;35;119;Rio Bonito e Boa Esperança;Rio Bonito;Metropolitana
4;35;120;Silva Jardim, Aldeia Velha, Correntezas e Gaviões;Silva Jardim;Baixadas Litorâneas
4;35;159;Cachoeiras de Macacu, Japuíba e Subaio;Cachoeiras de Macacu;Metropolitana
5;10;88;Barra do Piraí, Dorandia, Ipiabas, São José do Turvo e Vargem Alegre;Barra do Piraí;Médio Paraíba
5;10;91;Valença, Barão de Juparana, Conservatória, Parapeúna, Pentagna e Santa Isabel do Rio Preto;Valença;Médio Paraíba
5;10;92;Rio das Flores, Manuel Duarte, Abarracamento e Taboas;Rio das Flores;Médio Paraíba
5;10;94;Piraí, Arrozal, Monumento e Santanésia;Piraí;Médio Paraíba
5;10;95;Vassouras, Andrade Pinto, São Sebastião dos Ferreiros e Sebastião de Lacerda;Vassouras;Centro-Sul Fluminense
5;10;96;Miguel Pereira, Governador Portela e Conrado;Miguel Pereira;Centro-Sul Fluminense
5;10;96;Paty do Alferes e Avelar;Paty do Alferes;Centro-Sul Fluminense
5;10;97;Mendes;Mendes;Centro-Sul Fluminense
5;10;98;Engenheiro Paulo de Frontin e Sacra Família do Tinguá;Engenheiro Paulo de Frontin;Centro-Sul Fluminense
5;28;90;Antonio Rocha, Floriano, Nossa Senhora do Amparo, Rialto e Regiões Administrativas I, II, III, IV, V, VI, VII, VIII, IX, X, XI, XII, XIII, XIV;Barra Mansa;Médio Paraíba
5;28;93;Volta Redonda;Volta Redonda;Médio Paraíba
5;28;101;Pinheiral;Pinheiral;Médio Paraíba
5;28;168;Rio Claro, Getulândia, Lídice, Passa Três e São João Marcos;Rio Claro;Médio Paraíba
5;33;165;Mangaratiba, Conceição de Jacareí, Vila Muriquí, Itacuruçá;Mangaratiba;Costa Verde
5;33;166;Angra dos Reis, Jacuecanga, Cunhambebe, Mambucaba, Abraão e Praia de Araçatiba;Angra dos Reis;Costa Verde
5;33;167;Paraty, Paraty-Mirim e Tarituba;Paraty;Costa Verde
5;37;89;Resende, Engenheiro Passos, Agulhas Negras, Pedra Selada e Fumaça;Resende;Médio Paraíba
5;37;99;Itatiaia;Itatiaia;Médio Paraíba
5;37;100;Porto Real;Porto Real;Médio Paraíba
5;37;100;Quatis, Falcão e Ribeirão de São Joaquim;Quatis;Médio Paraíba
6;8;134;Campos dos Goytacazes (Primeiro Subdistrito, Segundo Subdistrito e Quarto Subdistrito), Ibitioca, Dores de Macabu, Morangaba, Mussurepe, Serrinha, Santo Amaro de Campos, São Sebastião de Campos e Tocos;Campos dos Goytacazes;Norte Fluminense
6;8;141;São Fidelis, Cambiasca, Colonia, Ipuca e Pureza;São Fidélis;Norte Fluminense
6;8;145;Barcelos, Atafona, São João da Barra, Grussaí, Cajueiro e Pipeiras;São João da Barra;Norte Fluminense
6;8;146;Campos dos Goytacazes (Terceiro Subdistrito), Santa Maria, Morro do Coco, Santo Eduardo, Travessão e Vila Nova de Campos;Campos dos Goytacazes;Norte Fluminense
6;8;147;São Francisco de Itabapoana, Maniva e Barra Seca;São Francisco de Itabapoana;Norte Fluminense
6;29;138;Laje do Muriaé;Laje do Muriaé;Noroeste Fluminense
6;29;139;Porciúncula, Purilândia e Santa Clara;Porciúncula;Noroeste Fluminense
6;29;140;Natividade, Ourania e Bom Jesus do Querendo;Natividade;Noroeste Fluminense
6;29;140;Varre-Sai;Varre-Sai;Noroeste Fluminense
6;29;143;Itaperuna, Boaventura, Nossa Senhora da Penha, Itajara, Retiro do Muriaé, Raposo e Comendador Venâncio;Itaperuna;Noroeste Fluminense
6;29;143;São José de Ubá;São José de Ubá;Noroeste Fluminense
6;29;144;Bom Jesus de Itabapoana, Carabuçú, Calheiros, Pirapetinga de Bom Jesus, Rosal e Serrinha;Bom Jesus de Itabapoana;Noroeste Fluminense
6;29;148;Italva;Italva;Noroeste Fluminense
6;29;148;Cardoso Moreira e São Joaquim;Cardoso Moreira;Norte Fluminense
6;32;121;Casimiro de Abreu, Professor Souza, Barra de São João e Rio Dourado;Casimiro de Abreu;Baixadas Litorâneas
6;32;122;Conceição de Macabú e Macabuzinho;Conceição de Macabú;Norte Fluminense
6;32;123;Centro, Cabiúnas, Barra de Macaé, Aeroporto e Imboassica;Macaé;Norte Fluminense
6;32;128;Rio das Ostras;Rio das Ostras;Baixadas Litorâneas
6;32;130;Centro, UB-S, Rodagem, Carapebus e Praia de Carapebus;Carapebus;Norte Fluminense
6;32;130;Quissamã;Quissamã;Norte Fluminense
6;36;135;Itaocara, Portela, Batatal, Laranjais, Jaguarembe e Estrada Nova;Itaocara;Noroeste Fluminense
6;36;136;Aperibé;Aperibé;Noroeste Fluminense
6;36;136;Santo Antônio de Pádua, Campelo, Paraoquena, Monte Alegre, Ibitiguaçú, Santa Cruz, Baltazar, Marangatú e São Pedro de Alcântara;Santo Antônio de Pádua;Noroeste Fluminense
6;36;137;Miracema, Venda das Flores e Paraíso do Tobias;Miracema;Noroeste Fluminense
6;36;142;Cambuci, Três Irmãos, Funil, Monte Verde e São João do Paraíso;Cambuci;Noroeste Fluminense
6;36;155;São Sebastião do Alto, Valão do Barro e Ipituna;São Sebastião do Alto;Serrana
7;11;151;Nova Friburgo, São Pedro da Serra, Lumiar, Amparo, Riograndina, Conselheiro Paulino e Campo do Coelho;Nova Friburgo;Serrana
7;11;152;Duas Barras e Monnerat;Duas Barras;Serrana
7;11;153;Cantagalo, Santa Rita da Floresta, Boa Sorte, Euclidelândia e São Sebastião do Paraíba;Cantagalo;Serrana
7;11;154;Cordeiro;Cordeiro;Serrana
7;11;154;Macuco;Macuco;Serrana
7;11;156;Santa Maria Madalena, Doutor Loreti, Renascença, Santo Antônio do Imbé, Sossego e Triunfo;Santa Maria Madalena;Serrana
7;11;157;Trajano de Moraes, Doutor Elias, Sodrelândia, Vila da Grama e Visconde de Imbé;Trajano de Moraes;Serrana
7;11;158;Bom Jardim, Banquete, Barra Alegre e São José do Ribeirão;Bom Jardim;Serrana
7;26;105;Petrópolis e Cascatinha;Petrópolis;Metropolitana
7;26;106;Itaipava, Pedro do Rio e Posse;Petrópolis;Metropolitana
7;30;104;São José do Vale do Rio Preto;São José do Vale do Rio Preto;Serrana
7;30;110;Teresópolis, Vale do Bonsucesso e Vale do Paquequer;Teresópolis;Serrana
7;30;111;Sumidouro;Sumidouro;Serrana
7;30;112;Carmo, Córrego da Prata e Porto Velho do Cunha;Carmo;Serrana
7;38;107;Paraíba do Sul, Werneck, Salutaris e Inconfidência;Paraíba do Sul;Centro-Sul Fluminense
7;38;108;Areal;Areal;Centro-Sul Fluminense
7;38;108;Comendador Levy Gasparian e Afonso Arinos;Comendador Levy Gasparian;Centro-Sul Fluminense
7;38;108;Três Rios e Bemposta;Três Rios;Centro-Sul Fluminense
7;38;109;Sapucaia, Anta, Pião, Nossa Senhora Aparecida e Jamapara;Sapucaia;Centro-Sul Fluminense
